"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","337980",""
"United States of America","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","316641",""
"United States of America","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","347803",""
"United States of America","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","337272",""
"United States of America","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","345257",""
"United States of America","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","346971",""
"United States of America","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","368450",""
"United States of America","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","359554",""
"United States of America","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","361922",""
"United States of America","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","347625",""
"United States of America","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","320195",""
"United States of America","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","340995",""
"United States of America","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2011","356457",""
"United States of America","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2011","338521",""
"United States of America","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2011","350630",""
"United States of America","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2011","346397",""
"United States of America","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2011","354886",""
"United States of America","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2011","348587",""
"United States of America","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2011","375384",""
"United States of America","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2011","373333",""
"United States of America","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2011","367965",""
"United States of America","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2011","357875",""
"United States of America","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2011","323788",""
"United States of America","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2011","353871",""
"United States of America","2006","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","340297",""
"United States of America","2006","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","319235",""
"United States of America","2006","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","356786",""
"United States of America","2006","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","329809",""
"United States of America","2006","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","355437",""
"United States of America","2006","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","358251",""
"United States of America","2006","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","367934",""
"United States of America","2006","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","387798",""
"United States of America","2006","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","374711",""
"United States of America","2006","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","367354",""
"United States of America","2006","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","351832",""
"United States of America","2006","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","356111",""
"United States of America","2005","Total","January","Data tabulated by year of occurrence","Final figure, complete","2007","331478",""
"United States of America","2005","Total","February","Data tabulated by year of occurrence","Final figure, complete","2007","309620",""
"United States of America","2005","Total","March","Data tabulated by year of occurrence","Final figure, complete","2007","349321",""
"United States of America","2005","Total","April","Data tabulated by year of occurrence","Final figure, complete","2007","332477",""
"United States of America","2005","Total","May","Data tabulated by year of occurrence","Final figure, complete","2007","346276",""
"United States of America","2005","Total","June","Data tabulated by year of occurrence","Final figure, complete","2007","350879",""
"United States of America","2005","Total","July","Data tabulated by year of occurrence","Final figure, complete","2007","357053",""
"United States of America","2005","Total","August","Data tabulated by year of occurrence","Final figure, complete","2007","369316",""
"United States of America","2005","Total","September","Data tabulated by year of occurrence","Final figure, complete","2007","363369",""
"United States of America","2005","Total","October","Data tabulated by year of occurrence","Final figure, complete","2007","344639",""
"United States of America","2005","Total","November","Data tabulated by year of occurrence","Final figure, complete","2007","335667",""
"United States of America","2005","Total","December","Data tabulated by year of occurrence","Final figure, complete","2007","348254",""
"United States of America","2004","Total","January","Data tabulated by year of occurrence","Provisional figure","2005","334000",""
"United States of America","2004","Total","February","Data tabulated by year of occurrence","Provisional figure","2005","317000",""
"United States of America","2004","Total","March","Data tabulated by year of occurrence","Provisional figure","2005","347000",""
"United States of America","2004","Total","April","Data tabulated by year of occurrence","Provisional figure","2005","334000",""
"United States of America","2004","Total","May","Data tabulated by year of occurrence","Provisional figure","2005","339000",""
"United States of America","2004","Total","June","Data tabulated by year of occurrence","Provisional figure","2005","346000",""
"United States of America","2004","Total","July","Data tabulated by year of occurrence","Provisional figure","2005","360000",""
"United States of America","2004","Total","August","Data tabulated by year of occurrence","Provisional figure","2005","357000",""
"United States of America","2004","Total","September","Data tabulated by year of occurrence","Provisional figure","2005","357000",""
"United States of America","2004","Total","October","Data tabulated by year of occurrence","Provisional figure","2005","337000",""
"United States of America","2004","Total","November","Data tabulated by year of occurrence","Provisional figure","2005","345000",""
"United States of America","2004","Total","December","Data tabulated by year of occurrence","Provisional figure","2005","348000",""
"United States of America","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2005","329803",""
"United States of America","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2005","307248",""
"United States of America","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2005","336920",""
"United States of America","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2005","330106",""
"United States of America","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2005","346754",""
"United States of America","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2005","337425",""
"United States of America","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2005","364226",""
"United States of America","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2005","360103",""
"United States of America","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2005","359644",""
"United States of America","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2005","354048",""
"United States of America","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2005","320094",""
"United States of America","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2005","343579",""
"United States of America","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","330674",""
"United States of America","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","303977",""
"United States of America","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","331505",""
"United States of America","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","324432",""
"United States of America","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","339007",""
"United States of America","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","327588",""
"United States of America","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","357669",""
"United States of America","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","359417",""
"United States of America","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","348814",""
"United States of America","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","345814",""
